id,Kraj,Liga,Superbet,Flashscore
311,Albania,1st Division,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/albania/kategoria-superiore/?ct=m,https://www.flashscore.pl/pilka-nozna/albania/super-liga/
186,Algeria,Ligue 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/algieria/ligue-1/?ct=m,https://flashscore.pl/pilka-nozna/algieria/ligue-1/
312,Andorra,1a Divisió,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/andora/primera-divisio/?ct=m,https://flashscore.pl/pilka-nozna/andora/primera-divisio/
397,Angola,Girabola,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/angola/girabola/wszystko?ct=m,https://www.flashscore.pl/pilka-nozna/angola/girabola-league/
128,Argentina,Liga Profesional Argentina,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/argentyna/primera-division-clausura-playoff/?ct=m,https://flashscore.pl/pilka-nozna/argentyna/primera-division-clausura-playoff/
129,Argentina,Primera Nacional,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/argentyna/primera-nacional-playoff/,https://flashscore.pl/pilka-nozna/argentyna/primera-nacional-playoff/
342,Armenia,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/armenia/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/armenia/premier-league/
188,Australia,A-League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/australia/a-league/?ct=m,https://flashscore.pl/pilka-nozna/australia/a-league/
1202,Australia,Australian Championship,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/australia/australian-championship/?ct=m,https://flashscore.pl/pilka-nozna/australia/australian-championship/
219,Austria,2. Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/austria/2liga/?ct=m,https://flashscore.pl/pilka-nozna/austria/2liga/
218,Austria,Bundesliga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/austria/bundesliga/?ct=m,https://flashscore.pl/pilka-nozna/austria/bundesliga/
